iter	Passed	Remaining
0	54	54770
1	55	27499
2	55	18404
3	55	13862
4	55	11123
5	56	9303
6	56	8005
7	56	7028
8	56	6266
9	57	5658
10	57	5161
11	57	4744
12	57	4393
13	58	4092
14	58	3832
15	58	3603
16	58	3401
17	59	3222
18	59	3062
19	59	2916
20	59	2784
21	59	2665
22	60	2556
23	60	2456
24	60	2364
25	60	2279
26	61	2201
27	61	2127
28	61	2059
29	61	1997
30	62	1938
31	62	1882
32	62	1830
33	62	1780
34	62	1734
35	63	1689
36	63	1648
37	63	1609
38	63	1572
39	64	1536
40	64	1504
41	64	1472
42	64	1442
43	65	1412
44	65	1384
45	65	1357
46	65	1332
47	65	1308
48	66	1284
49	66	1262
50	66	1240
51	66	1219
52	67	1198
53	67	1179
54	67	1161
55	67	1143
56	68	1125
57	68	1108
58	68	1092
59	68	1078
60	69	1064
61	69	1049
62	69	1035
63	69	1020
64	70	1007
65	70	994
66	71	989
67	71	977
68	71	965
69	71	953
70	71	941
71	72	930
72	72	919
73	72	908
74	72	898
75	73	888
76	73	878
77	73	868
78	73	859
79	73	849
80	74	841
81	74	832
82	74	822
83	74	813
84	74	805
85	75	798
86	75	790
87	75	782
88	75	775
89	75	768
90	76	761
91	76	754
92	76	747
93	76	740
94	77	734
95	77	727
96	77	721
97	77	715
98	77	709
99	78	703
100	78	698
101	78	692
102	78	686
103	79	681
104	79	675
105	79	670
106	79	665
107	79	660
108	80	655
109	80	650
110	80	646
111	80	642
112	81	637
113	81	632
114	81	628
115	81	623
116	82	618
117	82	614
118	82	610
119	82	606
120	82	602
121	83	597
122	83	593
123	83	589
124	83	585
125	83	582
126	84	577
127	84	574
128	84	570
129	84	567
130	84	563
131	85	559
132	85	556
133	85	553
134	85	549
135	85	546
136	86	542
137	86	539
138	86	536
139	86	533
140	87	530
141	87	526
142	87	523
143	87	520
144	87	517
145	88	515
146	88	512
147	88	509
148	88	506
149	88	503
150	89	501
151	89	498
152	89	495
153	89	493
154	89	490
155	90	487
156	90	485
157	90	482
158	90	480
159	91	477
160	91	474
161	91	472
162	91	470
163	91	467
164	92	465
165	92	463
166	92	461
167	92	458
168	92	456
169	93	454
170	93	452
171	93	450
172	93	448
173	94	446
174	94	444
175	94	441
176	94	439
177	94	437
178	95	435
179	95	433
180	95	432
181	95	430
182	95	428
183	96	426
184	96	424
185	96	422
186	96	420
187	97	419
188	97	417
189	97	415
190	97	413
191	97	412
192	98	410
193	98	408
194	98	406
195	98	405
196	99	403
197	99	402
198	99	400
199	99	398
200	99	397
201	100	395
202	100	394
203	100	392
204	100	390
205	101	389
206	101	387
207	101	386
208	101	385
209	101	383
210	102	382
211	102	380
212	102	379
213	102	377
214	103	376
215	103	374
216	103	373
217	103	372
218	103	370
219	104	369
220	104	367
221	104	366
222	104	365
223	104	363
224	105	362
225	105	361
226	105	359
227	105	358
228	106	357
229	106	355
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	343
240	108	342
241	108	340
242	109	339
243	109	338
244	109	337
245	109	336
246	109	335
247	110	333
248	110	332
249	110	331
250	110	330
251	110	329
252	111	328
253	111	327
254	111	326
255	111	325
256	112	324
257	112	322
258	112	321
259	112	320
260	112	319
261	113	318
262	113	317
263	113	316
264	113	315
265	114	314
266	114	313
